Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Turkiye;Middle East;2015;No;11.1;13;1.32;alta;moderada;alta;alta;27.8;0.08;11006;78.53;4.9;4.8;7.8;76.5
Spain;European Union;2015;Yes;2.7;3.3;10.35;alta;alta;alta;alta;26;0.09;25742;46.44;0.6;0.5;9.7;82.8
India;Asia;2007;No;51.5;67.9;1.57;moderada;baixa;moderada;moderada;21.2;0.13;1076;1183.21;27.1;28;5;65.4
Guyana;South America;2006;No;32.8;40.5;5.68;alta;elevada;alta;alta;25.3;0.79;4146;0.75;5.7;5.5;7.9;67
Israel;Middle East;2012;Yes;3.4;4.3;2.89;alta;elevada;alta;alta;27;0.08;33995;7.91;1.2;1.1;12.8;81.7
Costa Rica;Central America and Caribbean;2006;No;9.8;11.2;4.19;elevada;elevada;elevada;elevada;26.4;0.16;9110;4.35;2;1.9;7.9;78.2
Russian Federation;Rest of Europe;2015;No;6.6;8.2;8.06;alta;alta;alta;alta;26.2;0.08;9313;144.1;2.3;2.3;12;71.2
Hungary;European Union;2000;Yes;8.7;10.1;12.23;elevada;alta;alta;alta;25.9;0.08;8971;10.21;2.3;2.3;10.2;71.2
Jordan;Middle East;2001;No;22;26.1;0.52;alta;elevada;alta;alta;27.9;0.13;3708;5.22;4;3.9;9.6;71.9
Moldova;Rest of Europe;2008;No;15.3;17.8;7.72;alta;alta;alta;alta;26.5;0.43;2235;2.87;2.9;3.1;10.9;68.7
Brazil;South America;2012;No;15.4;17.2;7.12;alta;elevada;alta;alta;26.1;0.24;9057;199.29;2.8;2.8;7.3;74.2
Malta;European Union;2007;Yes;6;6.8;7.47;elevada;elevada;elevada;elevada;27.1;0.08;19338;0.41;0.7;0.7;9.9;79.8
Bahamas;Central America and Caribbean;2011;No;13;15.2;9.23;alta;elevada;alta;alta;27.6;0.46;32027;0.36;2.5;2.5;11;72.3
Ukraine;Rest of Europe;2002;No;14.3;16.6;7.13;baixa;alta;alta;alta;25.8;0.55;1660;48.2;2.9;3;10.5;68.3
Switzerland;Rest of Europe;2006;Yes;4.2;4.9;10.24;elevada;elevada;alta;alta;25;0.08;79368;7.48;0.6;0.4;12.3;81.5
Norway;Rest of Europe;2001;Yes;3.8;4.7;5.49;elevada;alta;alta;alta;25.7;0.03;68489;4.51;0.8;0.7;12.1;78.8
Finland;European Union;2013;Yes;2.2;2.7;9.08;elevada;alta;alta;alta;26;0.08;43045;5.44;0.9;0.8;12.3;81
Comoros;Africa;2007;No;66.8;91.9;0.15;elevada;moderada;elevada;elevada;23.5;0.02;1166;0.64;7.3;7.2;3.5;60.7
Japan;Asia;2005;Yes;2.8;3.7;7.98;elevada;elevada;alta;alta;22.6;0.17;33099;127.77;1.7;1.5;11.2;81.9
Gabon;Africa;2012;No;39.1;57.1;7.47;elevada;moderada;elevada;elevada;24.9;1.57;7181;1.75;6.3;6.2;7.8;62.9
Ghana;Africa;2011;No;45.2;65.9;1.67;alta;moderada;alta;alta;23.7;0.93;1580;25.39;6.9;6.8;6.8;61.4
Philippines;Asia;2001;No;28.2;36.9;4.53;baixa;baixa;elevada;elevada;22.3;0.01;1847;79.67;1;9.7;7.7;68.8
Congo Rep;Africa;2003;No;64.6;100.2;0.9;elevada;moderada;moderada;moderada;22.3;2.23;2072;3.41;9.1;8.8;5.7;53.8
Madagascar;Africa;2011;No;45.8;67;0.89;elevada;moderada;elevada;elevada;21.1;0.15;464;21.74;7.5;7.4;6.1;63.8
Estonia;European Union;2004;Yes;6.2;7.8;15.52;alta;alta;alta;alta;25.8;0.08;13283;1.36;2.2;2.3;12;71.9
Belize;Central America and Caribbean;2013;No;14.6;16.9;6.6;alta;alta;alta;alta;28.7;0.39;4667;0.35;3.4;3.4;10.5;73.5
Kazakhstan;Asia;2006;No;25.6;29;6.76;alta;alta;alta;alta;25.8;0.08;7838;15.31;2.4;2.5;11.7;66.2
Cameroon;Africa;2015;No;57;88;4.55;elevada;moderada;elevada;elevada;24.3;1.12;1383;23.3;5.6;5.5;6.1;57.6
Jordan;Middle East;2006;No;19.2;22.5;0.55;alta;elevada;alta;alta;28.3;0.13;4516;5.99;3.9;3.8;9.8;72.8
Zimbabwe;Africa;2009;No;54;91.3;2.77;elevada;moderada;moderada;elevada;23.6;7.31;941;12.53;7.5;7.4;7.2;48.4
Bhutan;Asia;2005;No;44.7;57.5;0.73;alta;elevada;alta;alta;22.8;0.19;1489;0.65;17.8;18.6;2.3;65.3
Switzerland;Rest of Europe;2010;Yes;3.9;4.6;10.01;elevada;elevada;alta;alta;25.1;0.06;82027;7.82;0.5;0.4;13.3;82.2
South Africa;Africa;2006;No;48.7;79.2;7.3;elevada;moderada;elevada;elevada;26.6;11.13;5827;48.49;1.6;12.8;9;53.8
Jordan;Middle East;2012;No;16.2;19;0.36;alta;alta;alta;alta;28.7;0.13;4387;8.09;3.9;3.9;9.9;73.7
Eritrea;Africa;2012;No;36.8;51.2;1.03;alta;elevada;alta;alta;20.6;0.18;699;3.28;8.7;8.6;3.9;63.2
Germany;European Union;2010;Yes;3.5;4.2;11.58;elevada;alta;alta;alta;26.3;0.03;37761;81.78;1.1;1.1;13.8;80
Saudi Arabia;Middle East;2014;No;8.3;9.6;0;alta;alta;alta;alta;28.3;0.13;20328;30.92;7.7;7.5;9.5;74.5
Kiribati;Oceania;2004;No;49.4;64.6;0.49;moderada;baixa;moderada;moderada;29.1;0.17;1488;0.09;0.2;0.2;7.2;64.2
Seychelles;Africa;2011;No;12.2;14.2;7.83;alta;alta;alta;alta;26.3;3.5;13664;0.09;5.7;6.1;8.4;72.7
Madagascar;Africa;2012;No;44.6;64.8;0.85;moderada;moderada;elevada;elevada;21.1;0.18;465;22.35;7.4;7.3;6.1;64.3
Singapore;Asia;2014;No;2.2;2.7;1.84;alta;alta;alta;alta;23.6;0.08;54683;5.47;2.2;2.2;11.4;82.5
Togo;Africa;2008;No;61.4;94.4;1.44;elevada;moderada;elevada;elevada;22.9;1.45;456;6.08;7.7;7.6;4.3;56.2
Denmark;European Union;2009;Yes;3.6;4.2;10.08;elevada;elevada;elevada;elevada;25.3;0.04;50457;5.52;1.1;0.9;12.7;78.6
Gambia;Africa;2015;No;39.7;59.8;2.69;alta;moderada;alta;alta;23.9;0.96;661;2.09;7.3;7.2;3.4;60.9
Costa Rica;Central America and Caribbean;2014;No;7.9;9.3;3.12;alta;alta;alta;alta;27.2;0.19;11355;4.8;1.7;1.7;8.6;79.4
Belize;Central America and Caribbean;2010;No;16.2;18.9;6.47;alta;alta;alta;alta;28.4;0.37;4768;0.32;3.5;3.4;10.5;72.1
Sweden;European Union;2010;Yes;2.5;3.1;7.38;moderada;alta;alta;alta;25.8;0.08;48370;9.38;1.3;1.3;12.3;81.5
Austria;European Union;2014;Yes;3.1;3.8;12.4;alta;elevada;alta;alta;25.5;0.08;44245;8.55;1.8;2;12.1;81.5
Kyrgyz Republic;Asia;2012;No;23.2;26.1;5.98;alta;moderada;alta;alta;26.1;0.14;994;5.61;3.2;3.3;10.7;70
Grenada;Central America and Caribbean;2013;No;13.8;15.8;7.81;alta;elevada;alta;alta;26.7;0.4;8067;0.11;3.8;3.8;8.5;72.6
Brunei Darussalam;Asia;2010;No;7.9;9.7;0.25;alta;alta;alta;alta;26.4;0.1;33437;0.39;5.9;5.4;8.8;74.7
Greece;European Union;2009;Yes;3.4;3.9;8.32;alta;elevada;alta;alta;27;0.09;22839;11.11;0.8;0.7;10.1;80.2
Norway;Rest of Europe;2010;Yes;2.7;3.3;6.59;elevada;alta;alta;alta;26.4;0.04;72427;4.89;0.7;0.7;12.7;81
Uruguay;South America;2006;No;11.7;13.5;6.45;alta;alta;alta;alta;26.3;0.2;10575;3.33;1.6;1.6;8;76
Croatia;European Union;2006;Yes;5.5;6.4;10.98;alta;alta;alta;alta;26.2;0.02;11960;4.31;1.8;1.8;9.9;75.8
Romania;European Union;2008;Yes;11.9;14;12.38;alta;alta;alta;alta;25.8;0.04;8280;20.54;3.1;3.5;10.6;72.6
Central African Republic;Africa;2011;No;96.7;140.5;1.97;baixa;moderada;baixa;baixa;22.5;1.78;550;4.42;8.8;8.8;3.7;48
Algeria;Africa;2015;No;21.6;25.2;0.55;alta;alta;alta;alta;25.5;0.05;4178;39.73;6;5.8;7.9;76.1
Yemen Rep;Middle East;2011;No;45.3;58.5;0.04;moderada;alta;moderada;moderada;23.4;0.03;2311;23.81;13.7;13.6;2.8;65.8
Armenia;Rest of Europe;2009;No;17.2;19.2;3.97;alta;alta;alta;alta;26;0.08;2884;2.89;2;2.1;11.1;73.1
Zimbabwe;Africa;2004;No;51.2;92.4;2.48;moderada;moderada;moderada;moderada;23.4;9.75;1212;12.02;9.4;9.4;6.8;43.1
St Vincent and the Grenadines;Central America and Caribbean;2003;No;19;21.7;5.47;alta;elevada;alta;alta;25.8;0.4;6075;0.11;3.8;3.8;7.8;71.1
Kenya;Africa;2007;No;43.7;68;1.2;elevada;baixa;elevada;elevada;22.6;2.73;1287;38.71;8.4;8.3;6;57.5
Micronesia Fed Sts;Oceania;2003;No;29;35.2;3.16;elevada;moderada;elevada;alta;28.9;0.17;3035;0.11;0.2;0.2;5.5;65.1
Antigua and Barbuda;Central America and Caribbean;2004;No;11;13.5;6.72;alta;moderada;alta;alta;25.5;0.1;14400;0.08;3.5;3.4;9.1;74.8
Nepal;Asia;2007;No;41.9;53.4;0.2;elevada;moderada;elevada;elevada;21.4;0.17;643;26.38;17.2;17.8;3;66.3
Lithuania;European Union;2005;Yes;7.3;9;12.42;alta;alta;alta;alta;26.2;0.06;9766;3.32;3;3.1;11.8;71.3
Vanuatu;Oceania;2003;No;23.5;28.1;0.88;moderada;moderada;moderada;moderada;25.6;0.17;2519;0.2;1.6;1.6;6.5;68
Afghanistan;Asia;2000;No;90.5;129.2;0.02;moderada;baixa;baixa;baixa;21.7;0.02;148;20.78;2.3;2.5;2.2;55.8
Kuwait;Middle East;2011;No;8.5;10;0;alta;alta;alta;alta;29.1;0.13;33167;3.17;3.3;3.2;7;74.6
Kenya;Africa;2011;No;38.5;55.5;1.47;alta;baixa;alta;alta;22.9;1.8;1357;43.18;8.1;7.9;6.2;61.9
Germany;European Union;2004;Yes;4;4.9;11.83;elevada;elevada;alta;alta;26;0.08;35034;82.52;1.1;1.1;12.9;78.7
Argentina;South America;2014;No;10.8;12.1;7.93;alta;alta;alta;alta;27.5;0.13;13568;42.67;1;0.9;9.8;75.9
Panama;Central America and Caribbean;2008;No;18;21.1;6;elevada;elevada;elevada;elevada;26.3;0.4;9894;3.52;2;2;9.2;76.4
