Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;BMI;Polio;Diphtheria;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Turkiye;Middle East;2015;No;11,1;13;1,32;97;65;27,8;97;97;0,08;11006;78,53;4,9;4,8;7,8;76,5
Spain;European Union;2015;Yes;2,7;3,3;10,35;97;94;26;97;97;0,09;25742;46,44;0,6;0,5;9,7;82,8
India;Asia;2007;No;51,5;67,9;1,57;60;35;21,2;67;64;0,13;1076;1183,21;27,1;28;5;65,4
Guyana;South America;2006;No;32,8;40,5;5,68;93;74;25,3;92;93;0,79;4146;0,75;5,7;5,5;7,9;67
Israel;Middle East;2012;Yes;3,4;4,3;2,89;97;89;27;94;94;0,08;33995;7,91;1,2;1,1;12,8;81,7
Costa Rica;Central America and Caribbean;2006;No;9,8;11,2;4,19;88;86;26,4;89;89;0,16;9110;4,35;2;1,9;7,9;78,2
Russian Federation;Rest of Europe;2015;No;6,6;8,2;8,06;97;97;26,2;97;97;0,08;9313;144,1;2,3;2,3;12;71,2
Hungary;European Union;2000;Yes;8,7;10,1;12,23;88;99;25,9;99;99;0,08;8971;10,21;2,3;2,3;10,2;71,2
Jordan;Middle East;2001;No;22;26,1;0,52;97;87;27,9;97;99;0,13;3708;5,22;4;3,9;9,6;71,9
Moldova;Rest of Europe;2008;No;15,3;17,8;7,72;97;92;26,5;96;90;0,43;2235;2,87;2,9;3,1;10,9;68,7
Brazil;South America;2012;No;15,4;17,2;7,12;96;70;26,1;96;95;0,24;9057;199,29;2,8;2,8;7,3;74,2
Malta;European Union;2007;Yes;6;6,8;7,47;82;77;27,1;76;74;0,08;19338;0,41;0,7;0,7;9,9;79,8
Bahamas;Central America and Caribbean;2011;No;13;15,2;9,23;95;83;27,6;97;98;0,46;32027;0,36;2,5;2,5;11;72,3
Ukraine;Rest of Europe;2002;No;14,3;16,6;7,13;48;98;25,8;99;99;0,55;1660;48,2;2,9;3;10,5;68,3
Switzerland;Rest of Europe;2006;Yes;4,2;4,9;10,24;88;71;25;94;94;0,08;79368;7,48;0,6;0,4;12,3;81,5
Norway;Rest of Europe;2001;Yes;3,8;4,7;5,49;88;90;25,7;91;91;0,03;68489;4,51;0,8;0,7;12,1;78,8
Finland;European Union;2013;Yes;2,2;2,7;9,08;88;92;26;98;98;0,08;43045;5,44;0,9;0,8;12,3;81
Comoros;Africa;2007;No;66,8;91,9;0,15;75;64;23,5;75;75;0,02;1166;0,64;7,3;7,2;3,5;60,7
Japan;Asia;2005;Yes;2,8;3,7;7,98;83;84;22,6;95;98;0,17;33099;127,77;1,7;1,5;11,2;81,9
Gabon;Africa;2012;No;39,1;57,1;7,47;82;64;24,9;80;82;1,57;7181;1,75;6,3;6,2;7,8;62,9
Ghana;Africa;2011;No;45,2;65,9;1,67;91;58;23,7;91;91;0,93;1580;25,39;6,9;6,8;6,8;61,4
Philippines;Asia;2001;No;28,2;36,9;4,53;45;19;22,3;76;79;0,01;1847;79,67;1;9,7;7,7;68,8
Congo Rep;Africa;2003;No;64,6;100,2;0,9;71;64;22,3;50;50;2,23;2072;3,41;9,1;8,8;5,7;53,8
Madagascar;Africa;2011;No;45,8;67;0,89;73;64;21,1;73;73;0,15;464;21,74;7,5;7,4;6,1;63,8
Estonia;European Union;2004;Yes;6,2;7,8;15,52;90;97;25,8;95;94;0,08;13283;1,36;2,2;2,3;12;71,9
Belize;Central America and Caribbean;2013;No;14,6;16,9;6,6;95;92;28,7;95;95;0,39;4667;0,35;3,4;3,4;10,5;73,5
Kazakhstan;Asia;2006;No;25,6;29;6,76;99;99;25,8;99;99;0,08;7838;15,31;2,4;2,5;11,7;66,2
Cameroon;Africa;2015;No;57;88;4,55;84;64;24,3;77;84;1,12;1383;23,3;5,6;5,5;6,1;57,6
